Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Australia,AUS,82.6929040624736,83.1499873392792,84.0659574166679,84.6686001273255,85.2867795272261,85.7281485127628,85.9652380068267,86.6787494336203,86.2579637989958,86.2043355800625
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Austria,AUT,83.8406147888176,83.9287605731838,84.225720600839,84.3144633261586,83.8716916770149,84.1564125237931,84.7603596500538,84.4355809753161,84.7951901163488,84.8479411500852
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Azerbaijan,AZE,91.8236785049012,92.1974016545925,91.946338571005,91.5489652542497,91.836645428434,91.8396153899906,91.7164961600589,92.4008051008487,91.8716650704611,92.026650647152
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,"Bahamas, The",BHS,82.2455303347023,82.0816361689822,82.1324299353249,82.4255959725581,82.6910241514844,82.674719372285,82.6005936455962,83.3815385014461,81.9066196828593,82.1559235092219
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Bahrain,BHR,49.7609981365956,49.9419670837299,50.0416801741305,50.2156713491569,50.6092588977065,50.8466026985819,50.4220779220779,50.4254852379138,50.3530789633831,50.6693148420279
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Bangladesh,BGD,39.9408721359941,40.8549857585293,41.800889514285,45.0599579676103,45.3414537727924,45.5562138942379,45.5570506590915,47.0491762542554,46.12118873022,46.1686253961125
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Barbados,BRB,89.1769079830631,90.2091888926777,89.227243903845,88.1946771162614,87.3794105986521,89.6158281240517,89.2638464757948,90.5286685499643,88.2596413843109,88.7081122062168
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Belarus,BLR,83.2039997183297,83.3038348082596,83.422362425517,82.9243111266132,81.8958818958819,82.9920268569031,82.6285234664615,83.2287610991289,82.8106286382753,82.8205164050159
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Belgium,BEL,81.1754972478303,81.5243788529796,81.3688083395789,82.3524441966172,83.8760477520955,84.2862699338779,84.3537880212697,84.6548136619695,85.3781032687204,85.0311185870479
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Belize,BLZ,59.5404407145908,60.714150907787,61.8913810483871,61.4118032704212,62.2103228104093,62.7822585815585,62.7866873598896,64.2242409753765,64.8837937240786,65.0916592067878
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Benin,BEN,88.8119634450291,87.0182896135131,85.1478855334896,83.2070220509527,81.1988747024454,81.4787489511906,81.4793175975695,81.1744489215454,82.3421187121267,82.4886937048294
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Bhutan,BTN,77.2075007860961,78.5895752454899,78.7506803792936,78.9152902956862,79.0848636094803,85.1430976430976,87.6028006223605,89.3299224294438,87.4207316252205,87.3518107508255
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Bolivia,BOL,75.0061307567806,68.6521006713097,73.2208750658935,75.688231906316,79.4497269876176,75.297851501965,74.102704997877,73.2448276300563,71.9812225035024,72.9629404247551
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Bosnia and Herzegovina,BIH,61.5461951811406,61.2635510140567,59.9421995148888,61.5252293577982,60.4884982751746,64.1363028798583,61.9882940265106,65.4262695634947,66.5840602696273,67.6740691267323
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Botswana,BWA,81.8210054576918,82.3364169841013,82.8450658905091,83.3473947575132,83.8421250614891,84.3323211535971,84.067571555031,85.4537065074765,86.1572535991141,86.2536371755351
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Brazil,BRA,69.4504939976628,70.3970543274535,70.8312255384861,72.2870470614967,72.8549413735343,73.7871873452618,70.7343199436223,71.8668425246613,72.9896542817135,72.8028829026335
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Brunei Darussalam,BRN,77.9357410816872,79.2145661258777,80.5683948426611,82.0012522387408,78.7875875326102,75.5494467734176,75.6947624002775,76.6081789973145,75.5434708162678,76.2515993231252
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Bulgaria,BGR,80.8989885546979,80.9185866360138,80.1553802949535,80.2977232924694,79.4774492547677,79.2971830541623,78.7827340434051,79.0870967741935,80.1895464198548,80.1000671376962
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Burkina Faso,BFA,77.980286907965,78.1326182350073,78.2809235694712,78.4462958181003,78.6351441528551,78.8555516121106,78.8563316610618,79.4214648893775,79.1162293914663,79.0419983530058
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Burundi,BDI,104.003928968387,103.104587719972,102.346175377882,101.677937340121,101.084294766605,100.576539752227,100.022907175036,100.879552320616,99.8137259871256,99.9277007572394
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Cabo Verde,CPV,73.8552025580099,75.3839552570059,76.9631553803894,78.5979027300669,77.9520634463792,78.3903233310072,77.9292216326729,79.6077033965565,78.0931181598961,78.7577869610806
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Cambodia,KHM,82.7058411850853,83.00107208495,83.3123695001384,83.6378974530748,83.9765881373365,84.3260567212916,84.3268455884149,85.2239730770633,84.3486467193379,84.2483200310521
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Cameroon,CMR,86.6965949078866,86.8562544535855,87.0103922051974,87.210647395989,87.4537591830355,87.7334099396725,87.7330134205184,88.7555224357268,87.6636001826841,87.7332046986428
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Canada,CAN,87.2314190146834,86.713791931097,87.2066379175384,87.6288218943767,88.0252764612954,87.6606977241921,86.7010504538368,87.0743022938481,88.1412064153181,88.2009261530028
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Central African Republic,CAF,80.0312408722045,79.9226232003552,80.1841325550935,80.5092096535538,80.8873982282759,81.2953800681103,81.295813386266,81.6871038137795,81.2128219952464,81.352516877583
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Chad,TCD,69.8322496038468,69.3110647181628,68.7875481652326,68.2611111111111,67.7338697285896,68.0577556599145,68.0564990942029,68.2854789696402,67.1356686397095,67.2453655632623
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Channel Islands,CHI,76.4587076941355,76.5528711224626,77.2437571831574,77.5839832033593,77.82931494059,78.3562431875984,78.2490559086304,78.7863405629903,78.012445207369,78.2050099892424
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Chile,CHL,67.6369409896798,67.5354194556002,67.4362633979795,68.1541582150101,69.6429328397225,70.5767336977464,67.2918362815484,67.7350427350427,70.9739182232055,72.7971988637962
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,China,CHN,82.4171790401028,82.6806354568006,82.9608455760154,83.271375464684,83.6054910357351,83.9248633879781,83.7435404565905,84.7888993000055,84.1386815063776,83.9544010983677
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Colombia,COL,69.1710887005508,69.6725961599072,69.5798105651262,69.4981139313343,68.4784425670897,68.2557670014198,67.0250285159886,66.6576402321083,67.0651272396951,67.8843970320298
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Comoros,COM,57.9546058576516,58.3020445931278,58.5860209293189,58.9412883204477,59.3520121159671,59.8027842227378,59.8015887542556,60.2836749968055,59.595630787037,59.7196379861625
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,"Congo, Dem. Rep.",COD,89.5319331947531,89.5990819766191,89.5949279935739,89.6899224806202,89.8684494285098,90.1166978821495,90.1165073962561,90.4818456993063,90.8003826530612,90.8349036092187
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,"Congo, Rep.",COG,96.2639201430962,96.248485547799,96.3873166223865,96.6179661507305,96.9386275305992,97.3449525001091,97.0567036846363,98.0036404204098,97.0693892985442,97.195990120587
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Costa Rica,CRI,66.2137329502808,65.8257909597066,62.2894250624932,61.7693928262748,63.8027205514774,69.1565060700522,66.565086686159,68.1560370506386,68.7434031061946,63.4084822377464
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Cote d'Ivoire,CIV,72.3698420105326,73.3066073152419,74.2580131878801,75.225139695112,76.2097049234001,77.210412921464,77.2107005804691,78.9644193710551,78.0285825070625,78.1848390446521
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Croatia,HRV,78.8810903590911,79.269221009896,78.6534564287323,78.2848597359736,79.2844938805398,78.4780416565249,77.1003178112477,78.5285130634806,80.4116979964947,83.119157865529
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Cuba,CUB,60.0631988332523,60.5170639684445,60.159055926116,60.0383931745467,60.005959729258,59.5334427342689,59.3914666827256,59.7754137115839,58.0830823787678,58.5617447686413
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Cyprus,CYP,84.3188439239667,85.7068444629649,84.6276611761872,84.9463654341703,84.5983461311282,83.4616336093366,81.750990772079,82.4053706613341,83.9444099203435,85.5471799894951
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Czechia,CZE,74.574780058651,75.3455272598953,75.8408891488739,76.2798908682394,76.8049714027913,76.7401138187655,76.0568341944575,76.3551140955376,76.8781191573306,75.6777635261194
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Denmark,DNK,86.8940398360231,85.9286969164597,87.4233035660045,87.3936323509336,86.9881229411587,86.7328776343539,86.9859918662449,86.5297790228129,88.1299390632645,87.8042663676865
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Djibouti,DJI,37.5243766906414,38.0065069506063,38.290649069575,38.737449262978,39.2665647408428,39.7574942518763,39.5258487483996,40.3755243358413,39.8382971344345,40.1129821219861
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Dominican Republic,DOM,61.286473587157,63.2012114827495,63.8826896316328,64.436327192647,64.7893512535539,67.15225987609,64.3597108591187,67.5038767909449,66.1177860941501,68.0352522426678
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Ecuador,ECU,61.2526020919534,65.1421756324148,69.1143441804751,69.9066351300884,68.9072759706988,69.5987101397349,67.0038014373318,68.8097251043988,69.8543414483504,68.2559034907597
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,"Egypt, Arab Rep.",EGY,31.7899453011187,32.1519308943089,32.9309457062761,32.8288069259962,27.069651008688,23.1908472987226,21.3368248580959,22.2001968026697,22.7978326648371,23.071961411184
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,El Salvador,SLV,61.3471391972673,60.3869790408716,61.0307076101469,59.9941387257057,59.9416456983779,60.3198631038568,59.8647562564088,59.8507581591736,60.1105565816534,60.2500555824386
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Equatorial Guinea,GNQ,85.0500774909594,85.4583772391992,85.623816783662,85.9639394397674,86.3159846288681,86.6508915744106,86.3145959927011,87.4775409547296,86.3429797442265,86.7209173293878
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Eritrea,ERI,83.641265654361,82.8924795994065,83.102409288149,82.9331285774117,83.1568995903314,83.337432221949,83.1621957718955,83.384633597727,83.2354317809502,83.3894185829127
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Estonia,EST,79.3364597594011,80.5890594981872,80.0188018118109,80.0449975391971,80.5922256312101,81.7190077942766,81.6210679072944,83.2903588251394,84.9762738673596,86.0591472770012
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Eswatini,SWZ,83.0384424074469,83.3847305656072,84.3875935521013,85.0664397697237,85.5975986901947,86.2520128824477,86.2532796275082,87.6187824795843,86.3645514944085,86.6591067051981
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Ethiopia,ETH,84.4468697065812,84.8412571611166,85.1678858856796,85.5118074060461,85.8612980547617,86.2019931096673,86.201825439436,86.7202120116699,86.9495829644471,87.0455762826335
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Fiji,FJI,54.3996532293021,52.2075474167834,50.0711089075323,50.2360927628739,50.3523709719675,50.3061304586724,50.2046882388705,50.2419387630627,50.3328686634444,50.6160708513802
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Finland,FIN,88.7199168465659,89.1167040718179,88.2092497232783,88.0767327917777,88.5310340455208,88.2790609317862,87.7937108518012,87.772110178137,90.0009431589537,90.7578616352201
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,France,FRA,84.666087327223,84.7919608551443,85.1251525244864,84.9787184710422,85.4177047002159,85.9048704454798,86.0898547767235,87.2334736982822,87.2781655034895,87.8133994376695
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,French Polynesia,PYF,77.4925043395929,77.6754545310945,77.93368557598,78.206103241753,78.4932072117826,78.7699106603504,78.7701787605507,79.8438757444069,78.6447182707709,78.6990445859873
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Gabon,GAB,70.4175964297099,70.632300209465,70.1546072974644,69.723624720722,69.352492771401,69.0742002550798,68.8451623671668,69.5476961578095,68.9724389520169,69.2467748647524
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,"Gambia, The",GMB,77.0486499205836,78.9896415287266,80.9634740017322,82.9751693002257,85.0198683532017,85.2664862728406,85.2656782392486,86.2443772356725,85.4994056508885,85.8608963508547
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Georgia,GEO,71.8497080858954,73.5255635443795,71.7400995616316,73.3615139998449,75.5050813421799,75.0965755213703,75.2906301654304,76.2334275157574,75.2951212129551,75.1502009585238
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Germany,DEU,82.569097845263,83.0570231371835,83.578659617291,83.8041995773445,83.7674000898069,83.8968855156465,84.2533058352542,84.2601734692328,84.2344504785622,84.2256042972247
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Ghana,GHA,88.9288086877534,88.4676574971785,88.7063151440834,88.9946598560483,89.3159876754536,89.6517631550038,89.6523041091333,90.349997213398,90.0576011465109,90.0909605377576
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Greece,GRC,74.1920248296336,75.8956266830283,76.3497552124345,75.9980809430794,75.3029913431045,75.6881127766617,75.5008026802541,76.704326838994,76.2917005695688,76.5742560835084
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Grenada,GRD,..,..,..,..,..,..,..,..,..,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Guam,GUM,82.2492277204639,82.2952491984844,82.2188560525511,82.230345751653,81.954460858439,82.1142233539469,81.7573838108566,82.2107684691768,81.8956645262288,81.9288852678442
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Guatemala,GTM,48.5934218034797,45.977945305313,47.8174699086383,45.9821057259301,46.0373337164889,45.2303272302298,46.5183764619791,47.6688832266484,50.1633178263882,50.350883684217
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Guinea,GIN,74.4315823456164,72.6915611424346,70.9547924901186,69.2187451635868,67.4869280538704,65.7611824192921,65.7615613067459,65.5850479032511,66.4891611687088,66.5374413385023
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Guinea-Bissau,GNB,75.8605657704224,76.0644688187478,76.196875,76.3867796026366,76.6352206193982,76.9531188485221,76.9534107171251,77.3816305861502,76.9076874606175,77.0281985404221
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Guyana,GUY,57.5514808785308,59.011728680379,60.5250080388202,62.0936598357624,63.7188481124848,63.5144339928641,63.5140657436618,65.3115451042912,62.6499991924673,63.3810704856389
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Haiti,HTI,88.2102860403738,88.521053308377,88.7823997253533,89.1481529228081,89.3865963121218,88.9430241889258,88.9428988903838,90.1230813785114,86.10337972167,86.7668209327163
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Honduras,HND,55.8964875354349,57.0256347356801,56.8682408969144,55.1665037235519,60.592960104045,57.4124679760888,65.1238332807938,65.6174044706539,65.8911337363453,66.0247246929267
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,"Hong Kong SAR, China",HKG,79.2529612673497,79.5299623562926,79.8824507416104,80.6900690947418,80.5042727564383,81.512106932219,81.9213644253264,82.4174987822699,81.765460928197,81.8120710947148
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Hungary,HUN,74.6111219132802,74.5356405778695,74.1792811312527,73.7307928703135,73.5442324965366,72.8982667671439,72.7366084238187,78.2482122329546,78.9019723285252,78.5974313422838
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Iceland,ISL,89.6872127400562,90.2642319026423,88.79243546903,88.9219613175076,88.887233170659,88.9749179383097,89.0063207219269,89.1159008776458,90.0126745957572,89.2519138420778
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,India,IND,34.8502623470716,34.9818417639429,35.1452732286861,35.2576939291737,35.3434191825946,35.4377318565938,35.2451333324277,36.0057111299686,37.1158768683935,42.5568492615457
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Indonesia,IDN,61.2285648590757,61.5570359045296,62.3117976840404,63.7105783277477,64.5953739642523,65.309831001272,65.147653473839,65.2955201405446,64.4567964858033,65.0341199018519
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,"Iran, Islamic Rep.",IRN,19.259159643775,21.0091959443527,23.4976584042134,24.8715224943298,24.8090950535674,24.1229196996946,20.3966800567108,19.5031055900621,19.3343898573693,20.3731776773444
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Iraq,IRQ,18.7419033722881,19.4509889869048,20.1827036843409,15.4382862971778,15.4847770066673,15.6446367544923,15.6393971543593,15.7828538383692,15.3672347903707,15.7686069562083
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Ireland,IRL,79.7934310492599,79.4234333371945,80.5412688524115,81.1931022408964,81.7989402542806,81.9376265458624,81.787951664143,83.9162157849693,84.2332245708611,85.0462377658139
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Israel,ISR,84.2964894571557,84.3846542717519,84.9850145633117,85.0057832820831,86.6889918061988,87.1532321852305,87.9297071625263,89.0022219239774,89.2185925612231,88.5359859226619
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Italy,ITA,68.3472101615842,67.544306376044,68.269182092776,68.9520408335158,69.2026606045298,69.742826708148,68.9276877022374,69.5874767879766,70.0518277459235,70.2148653476464
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Jamaica,JAM,76.9008932967574,80.5837093522417,79.6731063161808,80.3900665600612,80.0845313162538,80.5968347639485,79.7315177242406,81.2896889462921,79.6627888275345,81.0350060036682
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Japan,JPN,69.9092161904897,70.3753255810643,71.351888667992,72.4395261403135,73.6715587044534,74.6497029481,74.3978265740533,75.0939586021204,75.9110899464971,76.6660144238833
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Jordan,JOR,21.106486895508,22.9286016054077,24.8815558426929,26.9650495226633,23.8289338529014,21.8662863369764,23.8465344164446,22.7467250334847,21.7403090268365,22.3810206650415
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Kazakhstan,KAZ,86.0924457976797,85.7740695554069,85.45688208141,85.1965013965565,84.9385662396245,84.68937140461,84.3707363596625,85.4213095617107,84.852337048882,84.7566131175263
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Kenya,KEN,92.4651850315085,92.3347607281007,92.2061158368938,93.02271191726,93.8838520611746,94.8039112329345,94.8046246158349,96.019622701711,95.665334625546,95.8960328317373
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,"Korea, Dem. People's Rep.",PRK,86.8991351568785,87.0049256131886,86.797745741817,87.0514173703257,87.3583556074239,87.3650921138497,87.05073658119,87.5771959373245,87.349186043595,87.3828551355556
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,"Korea, Rep.",KOR,69.919039265956,70.5683136789271,71.0244100344851,71.674144548354,72.1609732254386,73.1568560734944,73.1001721170396,73.824930473332,74.7226602860406,76.0464672356903
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Kuwait,KWT,57.0780086420888,56.8148767333478,56.5625714939373,56.5513770701803,56.1777675963576,55.8845826919984,55.3645902191027,55.0758817494664,55.2021036464757,55.3907022749753
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Kyrgyz Republic,KGZ,72.1790910771343,71.8246588259947,70.6095297838417,67.1053322137084,67.7645591978804,66.8866915054082,68.8742665440462,67.2869723035237,67.6576017428973,67.7152003644139
